"tract","Name","Employment_Rate_rP_gP_pall"
24027602700,"Taylor Village, Ellicott City, MD",0.8808
24510130805,"Cold Springs, Baltimore, MD",0.8738
24005490602,"Baltimore, MD",0.8654
24005490701,"Towson, MD",0.8559
24005491000,"Baltimore, MD",0.855
24510271501,"Mount Washington, Baltimore, MD",0.8494
24005492101,"Parkville, MD",0.8436
24510271200,"Homeland, Baltimore, MD",0.8435
24005400500,"Catonsville, MD",0.8434
24003740103,"Hanover, MD",0.8395
24005411303,"Nottingham, MD",0.8388
24005403802,"Pikesville, MD",0.8371
24005411308,"Nottingham, MD",0.835
24003730204,"Glen Burnie, MD",0.8308
24005441101,"Rosedale, MD",0.8306
24003750400,"Linthicum Heights, MD",0.8289
24005401400,"Catonsville, MD",0.8288
24005400200,"Catonsville, MD",0.8277
24005430600,"Relay, Halethorpe, MD",0.8274
24005411307,"Nottingham, MD",0.827
24005411309,"Perry Hall, MD",0.8268
24005400400,"Catonsville, MD",0.8264
24005403803,"Pikesville, MD",0.8253
24005440200,"Nottingham, MD",0.8253
24005401505,"Catonsville, MD",0.8247
24027606607,"Long Reach, Columbia, MD",0.824
24005403401,"Pikesville, MD",0.8205
24005403701,"Owings Mills, MD",0.8197
24005401503,"Catonsville, MD",0.8196
24005400702,"Baltimore, MD",0.8196
24005490603,"Baltimore, MD",0.8192
24005491300,"Baltimore, MD",0.8175
24027602302,"Columbia, MD",0.8173
24005400900,"Catonsville, MD",0.8142
24027606706,"Kendall Ridge, Columbia, MD",0.8132
24005401000,"Catonsville, MD",0.8128
24005400800,"Catonsville, MD",0.8122
24005491900,"Parkville, MD",0.8118
24027601103,"West Elkridge, Elkridge, MD",0.8098
24510271300,"Roland Park, Baltimore, MD",0.8098
24027606901,"Savage, Jessup, MD",0.8088
24005411306,"Nottingham, MD",0.8078
24005440500,"Nottingham, MD",0.8065
24027601108,"Ellicott City, MD",0.8065
24510270703,"North Harford Road, Baltimore, MD",0.8057
24510270200,"Lauraville, Baltimore, MD",0.8057
24027601105,"Ellicott City, MD",0.8054
24005490601,"Baltimore, MD",0.8045
24005411404,"Parkville, MD",0.8045
24003750801,"Glen Burnie, MD",0.8039
24005451701,"Middle River, MD",0.8031
24005451200,"Middle River, MD",0.8029
24005452100,"Sparrows Point, MD",0.8016
24027602100,"Ellicott City, MD",0.8015
24003750804,"Glen Burnie, MD",0.8014
24005403100,"Gwynn Oak, Pikesville, MD",0.8013
24005401506,"Windsor Mill, Baltimore, MD",0.801
24005490800,"Towson, MD",0.8002
24510270502,"North Harford Road, Baltimore, MD",0.8001
24003751400,"Severn, MD",0.7996
24005402403,"Gwynn Oak, Baltimore, MD",0.7992
24005403601,"Baltimore, MD",0.7992
24027606606,"Long Reach, Columbia, MD",0.7985
24005491500,"Parkville, MD",0.7982
24005491600,"Parkville, MD",0.7972
24005440300,"Nottingham, MD",0.797
24005451600,"Middle River, MD",0.7967
24005411407,"Parkville, MD",0.7965
24005451000,"Essex, MD",0.7965
24005440100,"Baltimore, MD",0.796
24005451803,"Middle River, MD",0.7952
24005402603,"Randallstown, MD",0.7951
24005492402,"Owings Mills, MD",0.7951
24005411408,"Nottingham, MD",0.7948
24510090200,"Ednor Gardens - Lakeside, Baltimore, MD",0.7943
24027601201,"Elkridge, MD",0.7927
24005452400,"Dundalk, MD",0.7925
24005403602,"Baltimore, MD",0.7924
24005451900,"Edgemere, MD",0.7912
24510270802,"Ramblewood, Baltimore, MD",0.7912
24005492102,"Parkville, MD",0.7905
24005403300,"Lochearn, Pikesville, MD",0.7901
24005402506,"Randallstown, MD",0.7893
24005401504,"Catonsville, MD",0.7892
24003740201,"South Gate, Glen Burnie, MD",0.7892
24027602600,"Ellicott City, MD",0.7891
24510270903,"Hillen, Baltimore, MD",0.7888
24510280401,"Baltimore, MD",0.7888
24005440400,"Baltimore, MD",0.7883
24005491401,"Parkville, MD",0.7878
24005411410,"Parkville, MD",0.7873
24510270302,"Waltherson, Baltimore, MD",0.787
24027601104,"Ellicott City, MD",0.7869
24510020300,"Fells Point, Baltimore, MD",0.7865
24005411302,"White Marsh, MD",0.7861
24005492002,"Parkville, MD",0.7859
24510010100,"Canton, Baltimore, MD",0.7858
24003731308,"Pasadena, MD",0.7853
24005420200,"Dundalk, MD",0.7845
24005403201,"Gwynn Oak, Lochearn, MD",0.7844
24005401101,"Woodlawn, MD",0.7843
24005440900,"Rosedale, MD",0.784
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.784
24005451802,"Middle River, MD",0.7834
24510270702,"Harford - Echodale - Perring Parkway, Baltimore, MD",0.783
24027601204,"Elkridge, MD",0.7827
24005402304,"Gwynn Oak, Baltimore, MD",0.7824
