"tract","Name","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall"
24005403802,"Pikesville, MD",0.6492
24005490701,"Towson, MD",0.5579
24005403803,"Pikesville, MD",0.5273
24005490400,"Towson, MD",0.5133
24510271501,"Mount Washington, Baltimore, MD",0.4999
24005490500,"Towson, MD",0.492
24510271400,"Evergreen, Baltimore, MD",0.4891
24005403500,"Pikesville, MD",0.4713
24005403701,"Owings Mills, MD",0.466
24005403601,"Baltimore, MD",0.4591
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.4568
24027601104,"Ellicott City, MD",0.4544
24510271300,"Roland Park, Baltimore, MD",0.4538
24005491000,"Baltimore, MD",0.4149
24005403602,"Baltimore, MD",0.4117
24510271200,"Homeland, Baltimore, MD",0.4116
24027602100,"Ellicott City, MD",0.4109
24510120202,"Baltimore, MD",0.4059
24005401504,"Catonsville, MD",0.3997
24005490800,"Towson, MD",0.3894
24005400400,"Catonsville, MD",0.3861
24510271503,"Cross Keys, Baltimore, MD",0.384
24005411309,"Perry Hall, MD",0.3815
24005400500,"Catonsville, MD",0.3803
24005490603,"Baltimore, MD",0.3782
24027606607,"Long Reach, Columbia, MD",0.378
24027602302,"Columbia, MD",0.3778
24027602700,"Taylor Village, Ellicott City, MD",0.3762
24027601103,"West Elkridge, Elkridge, MD",0.3731
24510271102,"Mid-Charles, Baltimore, MD",0.3657
24005411308,"Nottingham, MD",0.3622
24005401400,"Catonsville, MD",0.3605
24027601105,"Ellicott City, MD",0.3575
24003751400,"Severn, MD",0.356
24005490602,"Baltimore, MD",0.3552
24003750400,"Linthicum Heights, MD",0.3534
24027606706,"Kendall Ridge, Columbia, MD",0.3488
24027602800,"Ellicott City, MD",0.3458
24005490601,"Baltimore, MD",0.3436
24005403401,"Pikesville, MD",0.3428
24005401503,"Catonsville, MD",0.3413
24005401000,"Catonsville, MD",0.341
24005491300,"Baltimore, MD",0.3365
24005490703,"Towson, MD",0.3359
24510020300,"Fells Point, Baltimore, MD",0.3342
24027606606,"Long Reach, Columbia, MD",0.3295
24510220100,"Baltimore, MD",0.3276
24005411307,"Nottingham, MD",0.3221
24005400200,"Catonsville, MD",0.3177
24005492002,"Parkville, MD",0.3176
24510240200,"Riverside, Baltimore, MD",0.3175
24005430600,"Relay, Halethorpe, MD",0.3159
24003740103,"Hanover, MD",0.3151
24005411303,"Nottingham, MD",0.3144
24510130805,"Cold Springs, Baltimore, MD",0.3143
24027601201,"Elkridge, MD",0.3133
24005400100,"Catonsville, MD",0.3132
24005491100,"Baltimore, MD",0.3071
24005492200,"Parkville, MD",0.3054
24027601108,"Ellicott City, MD",0.3046
24027602900,"Normandy, Ellicott City, MD",0.3042
24005411410,"Parkville, MD",0.3038
24005492001,"Parkville, MD",0.2992
24005403702,"Pikesville, MD",0.2981
24510272004,"Cheswolde, Baltimore, MD",0.2925
24005440600,"Rosedale, MD",0.2919
24003731306,"Pasadena, MD",0.2888
24005492402,"Owings Mills, MD",0.287
24005420702,"Dundalk, MD",0.2856
24005400900,"Catonsville, MD",0.2852
24005411404,"Parkville, MD",0.2833
24003751200,"Linthicum Heights, MD",0.283
24005491500,"Parkville, MD",0.283
24005403402,"Pikesville, MD",0.2825
24005411302,"White Marsh, MD",0.2812
24027602600,"Ellicott City, MD",0.2782
24005430400,"Halethorpe, MD",0.2775
24005411306,"Nottingham, MD",0.2769
24005402202,"Baltimore County, MD",0.2761
24005401506,"Windsor Mill, Baltimore, MD",0.2757
24005492101,"Parkville, MD",0.2742
24005440900,"Rosedale, MD",0.2741
24510272005,"Cross Country, Baltimore, MD",0.2711
24005400800,"Catonsville, MD",0.2705
24005400701,"Catonsville, MD",0.2698
24005440800,"Rosedale, MD",0.2694
24005490900,"Towson, MD",0.2691
24005491201,"Towson, MD",0.2679
24005451900,"Edgemere, MD",0.2675
24005441101,"Rosedale, MD",0.2673
24003750801,"Glen Burnie, MD",0.2673
24005451702,"Middle River, MD",0.2661
24005402603,"Randallstown, MD",0.2657
24003750900,"Glen Burnie, MD",0.2644
24005400702,"Baltimore, MD",0.2634
24005450900,"Essex, MD",0.2627
24005440500,"Nottingham, MD",0.2626
24005451802,"Middle River, MD",0.2625
24005441102,"Rosedale, MD",0.2607
24510270703,"North Harford Road, Baltimore, MD",0.2596
24005411408,"Nottingham, MD",0.2583
24005440100,"Baltimore, MD",0.2579
24005491202,"Towson, MD",0.2578
24003731308,"Pasadena, MD",0.2562
24005420900,"Dundalk, MD",0.2559
24005451200,"Middle River, MD",0.2557
24005440400,"Baltimore, MD",0.2552
24005452100,"Sparrows Point, MD",0.2526
24027606901,"Savage, Jessup, MD",0.2522
24005402604,"Randallstown, MD",0.252
24510272003,"Baltimore, MD",0.25
24005402506,"Randallstown, MD",0.2494
24003740201,"South Gate, Glen Burnie, MD",0.2479
24003751103,"Glen Burnie, MD",0.2465
24510240100,"Locust Point, Baltimore, MD",0.2456
