"tract","Name","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall"
24005403802,"Pikesville, MD",0.6296
24005403803,"Pikesville, MD",0.617
24005490400,"Towson, MD",0.581
24005490500,"Towson, MD",0.5557
24005403601,"Baltimore, MD",0.5465
24005490701,"Towson, MD",0.5463
24510271400,"Evergreen, Baltimore, MD",0.53
24005403500,"Pikesville, MD",0.4742
24510271300,"Roland Park, Baltimore, MD",0.4725
24005403701,"Owings Mills, MD",0.4698
24005491000,"Baltimore, MD",0.4651
24510271200,"Homeland, Baltimore, MD",0.4541
24027602100,"Ellicott City, MD",0.4494
24005490603,"Baltimore, MD",0.4453
24027601104,"Ellicott City, MD",0.4382
24005400400,"Catonsville, MD",0.4354
24510271501,"Mount Washington, Baltimore, MD",0.432
24510120100,"Tuscany - Canterbury, Baltimore, MD",0.4273
24510271102,"Mid-Charles, Baltimore, MD",0.4246
24005411308,"Nottingham, MD",0.4194
24005400500,"Catonsville, MD",0.4051
24510272005,"Cross Country, Baltimore, MD",0.4025
24005490601,"Baltimore, MD",0.4013
24005490800,"Towson, MD",0.3999
24027602700,"Taylor Village, Ellicott City, MD",0.3985
24005403602,"Baltimore, MD",0.3903
24005411303,"Nottingham, MD",0.3888
24005411309,"Perry Hall, MD",0.3885
24027606706,"Kendall Ridge, Columbia, MD",0.3867
24003750400,"Linthicum Heights, MD",0.3809
24005401503,"Catonsville, MD",0.3785
24005430600,"Relay, Halethorpe, MD",0.3742
24027602800,"Ellicott City, MD",0.3734
24005401000,"Catonsville, MD",0.3714
24027602302,"Columbia, MD",0.371
24005490602,"Baltimore, MD",0.3703
24027601105,"Ellicott City, MD",0.3629
24005411410,"Parkville, MD",0.3611
24005401400,"Catonsville, MD",0.3532
24027601108,"Ellicott City, MD",0.3486
24005401504,"Catonsville, MD",0.3485
24003731306,"Pasadena, MD",0.3483
24003751200,"Linthicum Heights, MD",0.3472
24005411404,"Parkville, MD",0.3416
24005491100,"Baltimore, MD",0.3404
24027601103,"West Elkridge, Elkridge, MD",0.3394
24027606607,"Long Reach, Columbia, MD",0.3391
24003751400,"Severn, MD",0.3366
24005440100,"Baltimore, MD",0.3352
24510120202,"Baltimore, MD",0.3335
24005490703,"Towson, MD",0.3286
24005400100,"Catonsville, MD",0.3275
24005411306,"Nottingham, MD",0.3261
24005492002,"Parkville, MD",0.3245
24005492001,"Parkville, MD",0.3193
24005440800,"Rosedale, MD",0.3166
24005440500,"Nottingham, MD",0.3158
24510010400,"Canton, Baltimore, MD",0.3139
24005440600,"Rosedale, MD",0.3116
24510020300,"Fells Point, Baltimore, MD",0.3091
24005491202,"Towson, MD",0.3091
24510220100,"Baltimore, MD",0.3073
24005451701,"Middle River, MD",0.3038
24005492200,"Parkville, MD",0.3032
24005491300,"Baltimore, MD",0.3029
24027606606,"Long Reach, Columbia, MD",0.3007
24027601201,"Elkridge, MD",0.2989
24005451702,"Middle River, MD",0.296
24027602900,"Normandy, Ellicott City, MD",0.2947
24510272004,"Cheswolde, Baltimore, MD",0.2935
24005411408,"Nottingham, MD",0.2917
24005491201,"Towson, MD",0.29
24005430400,"Halethorpe, MD",0.2887
24003731308,"Pasadena, MD",0.2876
24027602600,"Ellicott City, MD",0.2875
24005411307,"Nottingham, MD",0.2874
24005491500,"Parkville, MD",0.2873
24005440400,"Baltimore, MD",0.2866
24005430700,"Halethorpe, MD",0.2817
24005420702,"Dundalk, MD",0.2813
24005440200,"Nottingham, MD",0.2795
24510270703,"North Harford Road, Baltimore, MD",0.2773
24005403401,"Pikesville, MD",0.2752
24003740103,"Hanover, MD",0.2722
24005411302,"White Marsh, MD",0.2712
24005490900,"Towson, MD",0.27
24005400800,"Catonsville, MD",0.2651
24005411407,"Parkville, MD",0.2632
24003750801,"Glen Burnie, MD",0.2631
24005451200,"Middle River, MD",0.262
24005420500,"Baltimore, MD",0.2615
24003750804,"Glen Burnie, MD",0.26
24003750300,"Linthicum Heights, MD",0.2593
24003740102,"Hanover, MD",0.2592
24005403702,"Pikesville, MD",0.2582
24510240100,"Locust Point, Baltimore, MD",0.2565
24510271503,"Cross Keys, Baltimore, MD",0.2562
24003740201,"South Gate, Glen Burnie, MD",0.2552
24005451802,"Middle River, MD",0.2545
24510272003,"Baltimore, MD",0.2532
24005420200,"Dundalk, MD",0.2531
24510240200,"Riverside, Baltimore, MD",0.2506
24005441102,"Rosedale, MD",0.2503
24005430800,"Halethorpe, MD",0.2498
24510270804,"Lake Walker, Baltimore, MD",0.249
24005402202,"Baltimore County, MD",0.2478
24005403300,"Lochearn, Pikesville, MD",0.2475
24005450100,"Rosedale, MD",0.2466
24005441101,"Rosedale, MD",0.2464
24005400702,"Baltimore, MD",0.2448
24027601204,"Elkridge, MD",0.2441
24003730401,"Glen Burnie, MD",0.2402
24005403402,"Pikesville, MD",0.2401
24005492101,"Parkville, MD",0.2398
24005440900,"Rosedale, MD",0.2391
24005452100,"Sparrows Point, MD",0.2389
24003731309,"Riviera Beach, MD",0.2386
24005450900,"Essex, MD",0.2384
24005400200,"Catonsville, MD",0.2378
24005400701,"Catonsville, MD",0.2368
24005420303,"Dundalk, MD",0.2366
24510270501,"Woodring, Baltimore, MD",0.2358
24005451900,"Edgemere, MD",0.2342
24003750202,"Brooklyn Park, MD",0.2332
24003730100,"Chestnut Hill Cove, Riviera Beach, MD",0.2331
24005451000,"Essex, MD",0.2326
24510120201,"Baltimore, MD",0.2317
24005452400,"Dundalk, MD",0.2275
24005491900,"Parkville, MD",0.2274
24005420900,"Dundalk, MD",0.2261
24005492402,"Owings Mills, MD",0.224
24005451801,"Middle River, MD",0.2223
24005440702,"Rosedale, MD",0.222
24005420600,"Baltimore, MD",0.2216
