"tract","Name","Employment_Rate_rP_gP_pall"
25017341102,"Malden, MA",0.8812
25017312501,"Belvidere, Lowell, MA",0.8795
25017334300,"Reading, MA",0.8741
25017333100,"Woburn, MA",0.874
25017314302,"Dracut, MA",0.8702
25017357400,"Belmont, MA",0.8691
25017316101,"Billerica, MA",0.8689
25017341500,"Malden, MA",0.8648
25017316300,"Billerica, MA",0.8615
25009211300,"Danvers, MA",0.8614
25017314301,"Dracut, MA",0.861
25009208102,"Saugus, MA",0.8602
25017369000,"North Waltham, Waltham, MA",0.8602
25017315100,"North Tewksbury, Tewksbury, MA",0.8601
25017356400,"Arlington, MA",0.8594
25009211200,"Danvers, MA",0.859
25017332200,"Burlington, MA",0.8589
33015003902,"Londonderry, Londonderry, NH",0.8577
25017358600,"Lexington, MA",0.8569
25017335100,"Wakefield, MA",0.8565
25017339801,"Medford, MA",0.8561
25017317103,"Chelmsford, MA",0.8542
33015106101,"Windham, NH",0.8536
25017332300,"Burlington, MA",0.8529
25009254403,"Andover, MA",0.8528
25017316202,"Pinehurst, Billerica, MA",0.8516
25017310500,"Pawtucketville, Lowell, MA",0.8515
25017334200,"Reading, MA",0.8512
25017331200,"Wilmington, MA",0.8508
25009209100,"Lynnfield, MA",0.8506
25009253203,"North Andover, MA",0.8501
25017357200,"Belmont, MA",0.8493
25017333501,"Woburn, MA",0.8489
25009252202,"Methuen, MA",0.8489
25017333502,"Woburn, MA",0.8476
25017311500,"Highlands, Lowell, MA",0.8474
25009210600,"South Peabody, Peabody, MA",0.8463
25017336300,"Melrose, MA",0.8455
25009253204,"North Andover, MA",0.8451
25017314200,"Dracut, MA",0.8448
25009254302,"Andover, MA",0.8447
25017340100,"Medford, MA",0.8446
25017339500,"Medford, MA",0.8439
25009260401,"Haverhill, MA",0.8438
25009252102,"Methuen, MA",0.8436
25017312502,"Belvidere, Lowell, MA",0.8436
25017335200,"Wakefield, MA",0.8432
25017316102,"Billerica, MA",0.8427
25017335400,"Wakefield, MA",0.8423
25017316201,"Pinehurst, Billerica, MA",0.8421
25009260302,"Haverhill, MA",0.8418
25017338500,"Winchester, MA",0.8407
25017370101,"Watertown, MA",0.8407
25017332100,"Burlington, MA",0.8404
25017337102,"Stoneham, MA",0.8404
25025180200,"Winthrop, MA",0.8404
25009253201,"North Andover, MA",0.8403
25017310601,"Pawtucketville, Lowell, MA",0.8399
25017335302,"Wakefield, MA",0.8399
33011200200,"Pelham, NH",0.8394
33015103100,"Atkinson, NH",0.8391
25017336402,"Melrose, MA",0.8386
25017333600,"Woburn, MA",0.8386
25009210100,"Peabody, MA",0.8383
25009202102,"Swampscott, MA",0.8383
33015100302,"Salem, NH",0.8382
25009208300,"Saugus, MA",0.8381
25017357100,"Belmont, MA",0.8379
25009205700,"Lynn, MA",0.8379
25017330100,"North Reading, MA",0.8379
25009253205,"North Andover, MA",0.8378
25009253202,"North Andover, MA",0.8374
25017339600,"South Medford, Medford, MA",0.8358
25009254401,"Andover, MA",0.8356
25009223300,"Ipswich, MA",0.8355
25009254301,"Andover, MA",0.8354
25009254200,"Andover, Andover, MA",0.8354
33011200100,"Pelham, NH",0.8352
33011200300,"Pelham, NH",0.8351
25009204702,"Salem, MA",0.8344
33015100400,"Salem, NH",0.8344
25017338400,"Winchester, MA",0.8344
25017314101,"Dracut, MA",0.8342
25017354000,"Neighborhood Nine, Cambridge, MA",0.8341
25009266400,"Amesbury, MA",0.8339
25009217201,"Beverly, MA",0.8336
25017358300,"Lexington, MA",0.8336
25017359300,"Bedford, MA",0.8335
25009252603,"Methuen, MA",0.8334
25017317101,"Chelmsford, MA",0.8333
25009252602,"Methuen, MA",0.8331
25009252502,"Methuen, MA",0.8326
25009217600,"Prides Crossing, Beverly, MA",0.8325
25017331102,"Wilmington, MA",0.8323
25017339200,"West Medford, Medford, MA",0.8322
25009265102,"Georgetown, MA",0.8318
25017333200,"Woburn, MA",0.8316
25009253100,"North Andover, MA",0.8313
25017338300,"Winchester, MA",0.8312
25017339300,"West Medford, Medford, MA",0.8311
25017368200,"Highlands, Waltham, MA",0.8309
25009252201,"Methuen, MA",0.8303
25009211401,"Danvers, MA",0.8303
25025170701,"Revere, MA",0.8302
25017311400,"Highlands, Lowell, MA",0.83
25017341101,"Malden, MA",0.8297
25025170601,"Revere, MA",0.8293
25009252601,"Methuen, MA",0.8289
25017333400,"Woburn, MA",0.8285
25009217100,"Beverly, MA",0.8283
25017336200,"Melrose, MA",0.8283
25009210500,"South Peabody, Peabody, MA",0.8282
25009204102,"Salem, MA",0.8278
33015104102,"Hampstead, NH",0.8277
25009262100,"Merrimac, MA",0.8276
25017342300,"Everett, MA",0.8268
25009254100,"Andover, Andover, MA",0.8265
25017341901,"Malden, MA",0.8262
25025170100,"Revere, MA",0.8261
33015003703,"Londonderry, NH",0.826
25009261102,"Haverhill, MA",0.8257
25009223200,"Ipswich, Ipswich, MA",0.8254
25009210400,"Peabody, MA",0.825
25009268100,"Newburyport, MA",0.8249
25017368101,"Lakeview, Waltham, MA",0.8247
33015003701,"Londonderry, Londonderry, NH",0.8247
25009260900,"Haverhill, MA",0.8245
25017368902,"Waltham, MA",0.8243
25009264100,"Groveland, MA",0.8242
25009205300,"Lynn, MA",0.824
25009254402,"Andover, MA",0.8239
25017358100,"Lexington, MA",0.8238
25017337300,"Stoneham, MA",0.8236
25009204200,"Salem, MA",0.8235
25017339400,"Medford, MA",0.8233
25009223100,"Ipswich, Ipswich, MA",0.8231
25009210300,"Peabody, MA",0.8229
25009260200,"Haverhill, MA",0.8229
25009260402,"Haverhill, MA",0.8228
25009209200,"Lynnfield, MA",0.8217
25009216100,"Wenham, MA",0.8211
25017357700,"Belmont, MA",0.8211
25017357500,"Belmont, MA",0.8209
25025180101,"Winthrop, MA",0.8206
25009251800,"Lawrence, MA",0.8204
25017356500,"Arlington, MA",0.8203
25009203100,"Marblehead, MA",0.8198
33015003601,"Derry, Derry, NH",0.8197
