"tract","Name","Frac._in_Top_20%_Based_on_Indiv_Income_rP_gP_pall"
25017338400,"Winchester, MA",0.5712
25017367100,"Weston, MA",0.57
25017366201,"Wayland, MA",0.5397
25017357100,"Belmont, MA",0.5334
25017360200,"Lincoln, MA",0.5137
25009253203,"North Andover, MA",0.5065
25017358700,"Lexington, MA",0.4999
25017334300,"Reading, MA",0.4963
25009202200,"Swampscott, MA",0.4939
25009254401,"Andover, MA",0.4855
25009254403,"Andover, MA",0.481
25017361300,"Concord, MA",0.4786
25017358100,"Lexington, MA",0.4785
25017361100,"Concord, MA",0.4759
25017358300,"Lexington, MA",0.4756
25017358400,"Lexington, MA",0.4748
25017338500,"Winchester, MA",0.4741
25017358500,"Lexington, MA",0.4727
25017357200,"Belmont, MA",0.4709
25017338100,"Winchester, MA",0.4705
25009209200,"Lynnfield, MA",0.4702
25017338300,"Winchester, MA",0.4698
25009254402,"Andover, MA",0.4683
25009254301,"Andover, MA",0.4668
25009203100,"Marblehead, MA",0.4615
25009253204,"North Andover, MA",0.4596
25017362100,"Carlisle, MA",0.4569
25017358600,"Lexington, MA",0.4553
25017357800,"Belmont, MA",0.4521
25017356400,"Arlington, MA",0.4517
25017334100,"Reading, MA",0.4488
25017332100,"Burlington, MA",0.4485
25017359100,"Bedford, MA",0.4442
25009254302,"Andover, MA",0.4441
25017317103,"Chelmsford, MA",0.4427
25009214100,"Topsfield, Topsfield, MA",0.4415
25009216100,"Wenham, MA",0.4395
25009213100,"Boxford, MA",0.4363
25017337201,"Stoneham, MA",0.435
25009253205,"North Andover, MA",0.4335
25017354800,"North Cambridge, Cambridge, MA",0.4335
25017337102,"Stoneham, MA",0.4323
25009215101,"South Hamilton, Hamilton, MA",0.4294
25009254100,"Andover, Andover, MA",0.4279
25017332200,"Burlington, MA",0.4268
25009203200,"Marblehead, MA",0.4264
25009209100,"Lynnfield, MA",0.4255
25017330100,"North Reading, MA",0.4225
25017357300,"Belmont, MA",0.4219
25017336200,"Melrose, MA",0.4215
25017368101,"Lakeview, Waltham, MA",0.4208
33015106101,"Windham, NH",0.4193
25017359300,"Bedford, MA",0.419
25009203302,"Marblehead, MA",0.4172
25009254200,"Andover, Andover, MA",0.4155
25009252102,"Methuen, MA",0.4118
25017335400,"Wakefield, MA",0.4115
25017335100,"Wakefield, MA",0.4111
25017368902,"Waltham, MA",0.4106
25017332400,"Burlington, MA",0.4104
25017336100,"Melrose, MA",0.4097
25009211300,"Danvers, MA",0.4057
25017357400,"Belmont, MA",0.4055
25017339100,"Medford, MA",0.4055
25017368102,"Piety Corner, Waltham, MA",0.3992
25017339400,"Medford, MA",0.3963
25017356702,"Arlington, MA",0.3945
25017339200,"West Medford, Medford, MA",0.3931
25017316102,"Billerica, MA",0.393
25017315100,"North Tewksbury, Tewksbury, MA",0.3924
25017315402,"Tewksbury, MA",0.3923
25017350500,"Tufts, Somerville, MA",0.3901
25009218100,"Manchester-by-the-Sea, MA",0.3899
25017369000,"North Waltham, Waltham, MA",0.3893
25017356602,"Arlington, MA",0.3886
25009211402,"Danvers, MA",0.387
25009263100,"West Newbury, MA",0.3858
25017316101,"Billerica, MA",0.3856
25009265102,"Georgetown, MA",0.3848
25009203301,"Marblehead, MA",0.3847
25017331101,"Wilmington, MA",0.3829
25017314302,"Dracut, MA",0.3824
25017312502,"Belvidere, Lowell, MA",0.3823
25017368200,"Highlands, Waltham, MA",0.3823
25009217600,"Prides Crossing, Beverly, MA",0.382
25017317101,"Chelmsford, MA",0.382
25017335200,"Wakefield, MA",0.3817
25017337202,"Stoneham, MA",0.3802
25017315200,"Tewksbury, MA",0.3797
25017335302,"Wakefield, MA",0.3781
25017356100,"Arlington, MA",0.3766
25017334200,"Reading, MA",0.3759
25017340100,"Medford, MA",0.3743
25017332300,"Burlington, MA",0.3739
25009202102,"Swampscott, MA",0.3729
25009201100,"Nahant, MA",0.3726
25017357500,"Belmont, MA",0.3722
25017356601,"Arlington, MA",0.3701
33015106102,"Windham, NH",0.3693
25017357700,"Belmont, MA",0.3688
25017339500,"Medford, MA",0.3686
25017369100,"Warrendale, Waltham, MA",0.366
25017336402,"Melrose, MA",0.3658
25009210100,"Peabody, MA",0.3652
25017312501,"Belvidere, Lowell, MA",0.3651
25017337101,"Stoneham, MA",0.3623
25017331102,"Wilmington, MA",0.3622
25009208400,"Saugus, MA",0.3612
25017334400,"Reading, MA",0.3612
25017354000,"Neighborhood Nine, Cambridge, MA",0.3612
25009217100,"Beverly, MA",0.3594
25017333100,"Woburn, MA",0.3593
25017357600,"Belmont, MA",0.3593
25017317102,"Chelmsford, MA",0.3588
25017317203,"Chelmsford, MA",0.3575
25017330200,"North Reading, MA",0.357
25017336300,"Melrose, MA",0.3566
25009204702,"Salem, MA",0.3562
25009215102,"South Hamilton, Hamilton, MA",0.3554
25017331300,"Wilmington, MA",0.3554
25017341300,"Malden, MA",0.355
25009252603,"Methuen, MA",0.355
25009253201,"North Andover, MA",0.353
25009210300,"Peabody, MA",0.3529
25009268200,"Newburyport, MA",0.3527
25017350600,"Tufts, Somerville, MA",0.3524
25009205400,"Lynn, MA",0.3519
25017339700,"South Medford, Medford, MA",0.349
25009223300,"Ipswich, MA",0.3482
25017333502,"Woburn, MA",0.3478
25009253202,"North Andover, MA",0.3471
25009217202,"Beverly, MA",0.3468
25009268100,"Newburyport, MA",0.3467
25017333200,"Woburn, MA",0.3461
25009252202,"Methuen, MA",0.3453
25009252602,"Methuen, MA",0.3447
25009210200,"Peabody, MA",0.3445
33011200100,"Pelham, NH",0.3442
25009260302,"Haverhill, MA",0.3423
25017370101,"Watertown, MA",0.3412
25017333600,"Woburn, MA",0.3393
25025170100,"Revere, MA",0.339
25009260401,"Haverhill, MA",0.3359
33015003602,"Derry, NH",0.3355
25017356500,"Arlington, MA",0.3354
25017316500,"North Billerica, Billerica, MA",0.3354
25017314301,"Dracut, MA",0.3353
33015103100,"Atkinson, NH",0.3331
25009223100,"Ipswich, Ipswich, MA",0.3324
25017333501,"Woburn, MA",0.332
33015003701,"Londonderry, Londonderry, NH",0.3313
25009222100,"Essex, Essex, MA",0.3309
25017316201,"Pinehurst, Billerica, MA",0.3306
33015104102,"Hampstead, NH",0.3293
25017368901,"North Waltham, Waltham, MA",0.3291
25017316300,"Billerica, MA",0.3283
25017341101,"Malden, MA",0.3278
25017333400,"Woburn, MA",0.3274
25009212100,"Middleton, MA",0.3269
25017316202,"Pinehurst, Billerica, MA",0.3265
25009204102,"Salem, MA",0.3263
33015003902,"Londonderry, Londonderry, NH",0.3255
25009210600,"South Peabody, Peabody, MA",0.3251
25017337300,"Stoneham, MA",0.3234
25017331200,"Wilmington, MA",0.3232
25009252601,"Methuen, MA",0.3231
25009252502,"Methuen, MA",0.3221
25009217500,"Beverly, MA",0.3217
25017341102,"Malden, MA",0.3211
25009253100,"North Andover, MA",0.3207
25009264100,"Groveland, MA",0.3205
25017315403,"South Tewksbury, Tewksbury, MA",0.3204
25017354400,"West Cambridge, Cambridge, MA",0.3196
25009252501,"Methuen, MA",0.3193
25009210400,"Peabody, MA",0.3188
25017338200,"Winchester, MA",0.3184
25009221800,"Gloucester, MA",0.3174
25009211401,"Danvers, MA",0.3174
25009205300,"Lynn, MA",0.317
25009202101,"Swampscott, MA",0.3165
25017351100,"Spring Hill, Somerville, MA",0.3162
25025180200,"Winthrop, MA",0.3162
25009210500,"South Peabody, Peabody, MA",0.3149
33015100301,"Salem, NH",0.3143
25025040600,"Charlestown, Boston, MA",0.3142
25009208300,"Saugus, MA",0.3138
33011200200,"Pelham, NH",0.3134
