"tract","Name","Frac._in_Top_20%_Based_on_Household_Income_rP_gP_pall"
25017367100,"Weston, MA",0.5915
25017366201,"Wayland, MA",0.5793
25017338400,"Winchester, MA",0.5643
25017357100,"Belmont, MA",0.5598
25017358500,"Lexington, MA",0.5531
25009253203,"North Andover, MA",0.5416
25017361300,"Concord, MA",0.541
25017360200,"Lincoln, MA",0.5241
25009254403,"Andover, MA",0.5231
25017338300,"Winchester, MA",0.5196
25009254401,"Andover, MA",0.5155
25009202200,"Swampscott, MA",0.5144
25017334300,"Reading, MA",0.5111
25009254402,"Andover, MA",0.5103
25017357800,"Belmont, MA",0.5089
25017317103,"Chelmsford, MA",0.5082
25009254301,"Andover, MA",0.5053
25009216100,"Wenham, MA",0.5006
25017357200,"Belmont, MA",0.4994
25009209200,"Lynnfield, MA",0.4989
25009254302,"Andover, MA",0.4964
25009203100,"Marblehead, MA",0.4955
25009253205,"North Andover, MA",0.4945
25009253204,"North Andover, MA",0.4944
25017358700,"Lexington, MA",0.4941
25017332100,"Burlington, MA",0.4918
25009203200,"Marblehead, MA",0.485
25017338500,"Winchester, MA",0.485
25017334100,"Reading, MA",0.4826
25017358300,"Lexington, MA",0.4818
25017369000,"North Waltham, Waltham, MA",0.4782
25009214100,"Topsfield, Topsfield, MA",0.4779
25017357400,"Belmont, MA",0.4725
25017337102,"Stoneham, MA",0.4714
33015106101,"Windham, NH",0.4685
25017361100,"Concord, MA",0.4667
25017330100,"North Reading, MA",0.4639
25009203301,"Marblehead, MA",0.4577
25017358600,"Lexington, MA",0.4573
25017337201,"Stoneham, MA",0.4573
25017362100,"Carlisle, MA",0.4545
25009213100,"Boxford, MA",0.4509
25017359100,"Bedford, MA",0.447
25017369100,"Warrendale, Waltham, MA",0.4468
25009209100,"Lynnfield, MA",0.4459
25017336200,"Melrose, MA",0.4455
25017358400,"Lexington, MA",0.4428
25009254100,"Andover, Andover, MA",0.4419
25017358100,"Lexington, MA",0.4409
25017339200,"West Medford, Medford, MA",0.4379
25017332200,"Burlington, MA",0.4311
25017332400,"Burlington, MA",0.4307
25017356400,"Arlington, MA",0.4307
25017338100,"Winchester, MA",0.4288
25017359300,"Bedford, MA",0.4263
25009215101,"South Hamilton, Hamilton, MA",0.4262
25009210300,"Peabody, MA",0.4243
25017356602,"Arlington, MA",0.4241
25009263100,"West Newbury, MA",0.4227
25017334200,"Reading, MA",0.4189
25017336100,"Melrose, MA",0.4159
25017332300,"Burlington, MA",0.4148
25009210100,"Peabody, MA",0.4146
25017368901,"North Waltham, Waltham, MA",0.412
25017335400,"Wakefield, MA",0.4109
25009211300,"Danvers, MA",0.4109
25017337202,"Stoneham, MA",0.4108
25017356702,"Arlington, MA",0.4097
25009217600,"Prides Crossing, Beverly, MA",0.4081
25009203302,"Marblehead, MA",0.408
25017316101,"Billerica, MA",0.408
25017335200,"Wakefield, MA",0.4069
25017368200,"Highlands, Waltham, MA",0.4064
25009211402,"Danvers, MA",0.4052
25017368101,"Lakeview, Waltham, MA",0.4038
25017334400,"Reading, MA",0.4037
25017354000,"Neighborhood Nine, Cambridge, MA",0.403
25017316102,"Billerica, MA",0.4029
25009202101,"Swampscott, MA",0.4028
25017335302,"Wakefield, MA",0.4021
25017315100,"North Tewksbury, Tewksbury, MA",0.4009
25017357500,"Belmont, MA",0.3992
25009265102,"Georgetown, MA",0.3986
25017331300,"Wilmington, MA",0.3983
25017315402,"Tewksbury, MA",0.3974
25017312501,"Belvidere, Lowell, MA",0.3967
25017317203,"Chelmsford, MA",0.3967
25009210200,"Peabody, MA",0.3953
25017350500,"Tufts, Somerville, MA",0.3938
25017356601,"Arlington, MA",0.3931
25017317102,"Chelmsford, MA",0.3928
25009252102,"Methuen, MA",0.3921
25009218100,"Manchester-by-the-Sea, MA",0.3921
25009268100,"Newburyport, MA",0.3918
25009252502,"Methuen, MA",0.3912
25017335100,"Wakefield, MA",0.3895
25017337101,"Stoneham, MA",0.3884
33015103100,"Atkinson, NH",0.3877
25009252602,"Methuen, MA",0.3854
25017368102,"Piety Corner, Waltham, MA",0.3835
25017333100,"Woburn, MA",0.3818
33015104102,"Hampstead, NH",0.3813
25009253201,"North Andover, MA",0.3811
25017333200,"Woburn, MA",0.3794
25009254200,"Andover, Andover, MA",0.3789
25017331102,"Wilmington, MA",0.3776
25017339100,"Medford, MA",0.3772
25009264100,"Groveland, MA",0.377
25017339400,"Medford, MA",0.3768
25017357700,"Belmont, MA",0.3767
25017314301,"Dracut, MA",0.3751
25017331101,"Wilmington, MA",0.375
25009201100,"Nahant, MA",0.3721
25017368902,"Waltham, MA",0.372
25009204702,"Salem, MA",0.3719
25017315200,"Tewksbury, MA",0.3718
25017350103,"Ten Hills, Somerville, MA",0.3717
25017354800,"North Cambridge, Cambridge, MA",0.3714
25017336402,"Melrose, MA",0.3713
25017339500,"Medford, MA",0.3709
33015104101,"East Hampstead, Hampstead, NH",0.3707
25009221800,"Gloucester, MA",0.3692
25017336300,"Melrose, MA",0.3666
33015106102,"Windham, NH",0.366
25009253202,"North Andover, MA",0.3658
25009217202,"Beverly, MA",0.3642
33015003701,"Londonderry, Londonderry, NH",0.3642
33015003602,"Derry, NH",0.3637
25009223300,"Ipswich, MA",0.3635
25017317101,"Chelmsford, MA",0.3626
33015100302,"Salem, NH",0.3616
25017357600,"Belmont, MA",0.3613
33011200100,"Pelham, NH",0.361
25009223100,"Ipswich, Ipswich, MA",0.3608
25017315401,"Tewksbury, MA",0.3606
25009260401,"Haverhill, MA",0.3595
33011200300,"Pelham, NH",0.3588
25017335301,"Wakefield, MA",0.3588
25009261101,"Haverhill, MA",0.3587
25009217100,"Beverly, MA",0.3575
25017339700,"South Medford, Medford, MA",0.3574
25017316202,"Pinehurst, Billerica, MA",0.356
25017370101,"Watertown, MA",0.3559
25009253100,"North Andover, MA",0.3557
25017312502,"Belvidere, Lowell, MA",0.3552
25009215102,"South Hamilton, Hamilton, MA",0.3544
25009208400,"Saugus, MA",0.3544
25017316201,"Pinehurst, Billerica, MA",0.3544
25009212100,"Middleton, MA",0.354
25009252603,"Methuen, MA",0.3528
